ダウンロードした時刻：2020/04/21 19:40:42

,札幌,札幌,札幌,札幌,札幌,札幌,仙台,仙台,仙台,仙台,仙台,仙台,東京,東京,東京,東京,東京,東京,福岡,福岡,福岡,福岡,福岡,福岡,大阪,大阪,大阪,大阪,大阪,大阪,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,広島,広島,広島,広島,広島,広島
1991/10,12.7,8,1,0,8,1,15.5,8,1,1,8,1,18.1,8,1,3,8,1,18.3,8,1,5,8,1,18.7,8,1,4,8,1,17.9,8,1,7,8,1,18.4,8,1,10,8,1
1991/11,4.7,8,1,0,8,1,8.9,8,1,0,8,1,13.0,8,1,0,8,1,13.1,8,1,0,8,1,13.3,8,1,0,8,1,12.2,8,1,0,8,1,12.2,8,1,0,8,1
1991/12,-0.9,8,1,0,8,1,4.9,8,1,0,8,1,9.2,8,1,0,8,1,10.0,8,1,0,8,1,9.8,8,1,0,8,1,8.2,8,1,0,8,1,8.9,8,1,0,8,1
1992/1,-2.4,8,1,0,8,1,2.7,8,1,0,8,1,6.8,8,1,0,8,1,7.8,8,1,0,8,1,7.4,8,1,0,8,1,6.0,8,1,0,8,1,6.5,8,1,0,8,1
1992/2,-2.5,8,1,0,8,1,2.4,8,1,0,8,1,6.9,8,1,0,8,1,7.6,8,1,0,8,1,6.5,8,1,0,8,1,5.3,8,1,0,8,1,6.2,8,1,0,8,1
1992/3,1.0,8,1,0,8,1,5.0,8,1,0,8,1,9.7,8,1,0,8,1,10.8,8,1,0,8,1,10.5,8,1,0,8,1,10.1,8,1,0,8,1,10.1,8,1,0,8,1
1992/4,6.9,8,1,0,8,1,10.1,8,1,1,8,1,15.1,8,1,0,8,1,15.4,8,1,3,8,1,15.3,8,1,2,8,1,14.6,8,1,2,8,1,15.3,8,1,1,8,1
1992/5,11.7,8,1,0,8,1,13.3,8,1,0,8,1,17.3,8,1,4,8,1,18.9,8,1,9,8,1,18.3,8,1,8,8,1,17.4,8,1,8,8,1,18.2,8,1,6,8,1
1992/6,16.4,8,1,3,8,1,17.3,8,1,3,8,1,20.6,8,1,12,8,1,21.4,8,1,15,8,1,22.4,8,1,25,8,1,21.7,8,1,23,8,1,22.2,8,1,24,8,1
1992/7,20.7,8,1,17,8,1,22.5,8,1,18,8,1,25.5,8,1,25,8,1,26.5,8,1,30,8,1,27.0,8,1,31,8,1,26.6,8,1,29,8,1,26.4,8,1,28,8,1
1992/8,21.1,8,1,17,8,1,23.4,8,1,22,8,1,27.0,8,1,28,8,1,26.7,8,1,31,8,1,28.2,8,1,31,8,1,27.4,8,1,30,8,1,27.7,8,1,31,8,1
1992/9,16.2,8,1,1,8,1,19.9,8,1,10,8,1,23.3,8,1,21,8,1,24.6,8,1,26,8,1,24.5,8,1,26,8,1,23.8,8,1,25,8,1,24.1,8,1,24,8,1
1992/10,11.6,8,1,0,8,1,14.7,8,1,0,8,1,17.3,8,1,2,8,1,18.5,8,1,4,8,1,19.2,8,1,7,8,1,17.8,8,1,4,8,1,18.2,8,1,8,8,1
1992/11,4.8,8,1,0,8,1,9.7,8,1,0,8,1,13.0,8,1,0,8,1,13.2,8,1,0,8,1,13.4,8,1,0,8,1,12.0,8,1,0,8,1,12.3,8,1,0,8,1
1992/12,0.1,8,1,0,8,1,5.0,8,1,0,8,1,9.4,8,1,0,8,1,10.0,8,1,0,8,1,9.6,8,1,0,8,1,7.7,8,1,0,8,1,8.2,8,1,0,8,1
1993/1,-1.7,8,1,0,8,1,2.8,8,1,0,8,1,6.2,8,1,0,8,1,7.5,8,1,0,8,1,6.9,8,1,0,8,1,5.9,8,1,0,8,1,6.5,8,1,0,8,1
1993/2,-2.1,8,1,0,8,1,3.4,8,1,0,8,1,7.7,8,1,0,8,1,8.3,8,1,0,8,1,7.5,8,1,0,8,1,5.9,8,1,0,8,1,6.8,8,1,0,8,1
1993/3,1.3,8,1,0,8,1,4.6,8,1,0,8,1,8.7,8,1,0,8,1,9.8,8,1,0,8,1,8.7,8,1,0,8,1,8.0,8,1,0,8,1,8.4,8,1,0,8,1
1993/4,6.2,8,1,0,8,1,9.5,8,1,0,8,1,13.4,8,1,3,8,1,14.6,8,1,2,8,1,14.4,8,1,2,8,1,13.3,8,1,2,8,1,14.2,8,1,2,8,1
1993/5,11.9,8,1,0,8,1,14.4,8,1,2,8,1,18.1,8,1,11,8,1,18.8,8,1,9,8,1,18.9,8,1,13,8,1,18.0,8,1,13,8,1,18.5,8,1,11,8,1
1993/6,15.4,8,1,0,8,1,18.1,8,1,7,8,1,21.7,8,1,14,8,1,22.9,8,1,22,8,1,22.7,8,1,23,8,1,21.6,8,1,16,8,1,22.4,8,1,18,8,1
1993/7,19.1,8,1,10,8,1,18.5,8,1,4,8,1,22.5,8,1,17,8,1,25.1,8,1,26,8,1,25.4,8,1,29,8,1,23.6,8,1,21,8,1,25.2,8,1,28,8,1
1993/8,20.0,8,1,10,8,1,21.6,8,1,18,8,1,24.8,8,1,23,8,1,25.2,8,1,31,8,1,26.6,8,1,31,8,1,25.2,8,1,27,8,1,25.7,8,1,30,8,1
1993/9,17.5,8,1,1,8,1,19.8,8,1,8,8,1,22.9,8,1,19,8,1,22.6,8,1,23,8,1,23.3,8,1,22,8,1,22.2,8,1,21,8,1,22.9,8,1,25,8,1
1993/10,11.5,8,1,0,8,1,14.1,8,1,1,8,1,17.5,8,1,1,8,1,17.7,8,1,2,8,1,17.9,8,1,2,8,1,16.8,8,1,3,8,1,16.9,8,1,3,8,1
1993/11,5.8,8,1,0,8,1,10.5,8,1,0,8,1,14.1,8,1,0,8,1,14.4,8,1,0,8,1,14.7,8,1,0,8,1,13.0,8,1,0,8,1,13.2,8,1,0,8,1
1993/12,-0.1,8,1,0,8,1,4.6,8,1,0,8,1,8.5,8,1,0,8,1,8.9,8,1,0,8,1,8.4,8,1,0,8,1,6.9,8,1,0,8,1,7.8,8,1,0,8,1
1994/1,-4.7,8,1,0,8,1,1.8,8,1,0,8,1,5.5,8,1,0,8,1,7.1,8,1,0,8,1,6.1,8,1,0,8,1,4.7,8,1,0,8,1,5.5,8,1,0,8,1
1994/2,-1.3,8,1,0,8,1,2.8,8,1,0,8,1,6.6,8,1,0,8,1,7.2,8,1,0,8,1,6.2,8,1,0,8,1,4.6,8,1,0,8,1,6.0,8,1,0,8,1
1994/3,-0.5,8,1,0,8,1,4.0,8,1,0,8,1,8.1,8,1,0,8,1,8.9,8,1,0,8,1,8.3,8,1,0,8,1,7.4,8,1,0,8,1,7.9,8,1,0,8,1
1994/4,7.0,8,1,0,8,1,11.0,8,1,0,8,1,15.8,8,1,0,8,1,15.8,8,1,1,8,1,16.5,8,1,6,8,1,15.4,8,1,4,8,1,15.9,8,1,3,8,1
1994/5,13.5,8,1,2,8,1,15.5,8,1,4,8,1,19.5,8,1,12,8,1,20.5,8,1,17,8,1,20.7,8,1,20,8,1,19.8,8,1,18,8,1,20.0,8,1,21,8,1
1994/6,16.9,8,1,5,8,1,18.6,8,1,8,8,1,22.4,8,1,21,8,1,22.3,8,1,18,8,1,24.2,8,1,27,8,1,22.9,8,1,24,8,1,23.2,8,1,24,8,1
1994/7,22.2,8,1,23,8,1,24.2,8,1,26,8,1,28.3,8,1,31,8,1,29.6,8,1,31,8,1,29.9,8,1,31,8,1,28.9,8,1,31,8,1,30.1,8,1,31,8,1
1994/8,24.8,8,1,30,8,1,26.6,8,1,27,8,1,28.9,8,1,30,8,1,29.8,8,1,31,8,1,30.2,8,1,31,8,1,29.3,8,1,31,8,1,29.8,8,1,31,8,1
1994/9,19.8,8,1,11,8,1,22.2,8,1,18,8,1,24.8,8,1,24,8,1,24.6,8,1,27,8,1,26.0,8,1,28,8,1,24.9,8,1,26,8,1,25.4,8,1,29,8,1
1994/10,12.4,8,1,0,8,1,16.6,8,1,4,8,1,20.2,8,1,7,8,1,19.7,8,1,14,8,1,20.8,8,1,15,8,1,19.8,8,1,16,8,1,19.4,8,1,16,8,1
1994/11,5.4,8,1,0,8,1,9.6,8,1,0,8,1,13.4,8,1,0,8,1,15.2,8,1,2,8,1,14.6,8,1,0,8,1,13.3,8,1,0,8,1,14.0,8,1,0,8,1
1994/12,-1.4,8,1,0,8,1,4.4,8,1,0,8,1,9.0,8,1,0,8,1,10.1,8,1,0,8,1,9.3,8,1,0,8,1,7.7,8,1,0,8,1,8.7,8,1,0,8,1
1995/1,-3.3,8,1,0,8,1,1.1,8,1,0,8,1,6.3,8,1,0,8,1,6.9,8,1,0,8,1,6.1,8,1,0,8,1,4.0,8,1,0,8,1,5.2,8,1,0,8,1
1995/2,-2.3,8,1,0,8,1,2.4,8,1,0,8,1,6.5,8,1,0,8,1,7.1,8,1,0,8,1,6.2,8,1,0,8,1,5.3,8,1,0,8,1,6.0,8,1,0,8,1
1995/3,0.9,8,1,0,8,1,4.7,8,1,0,8,1,8.9,8,1,0,8,1,10.1,8,1,0,8,1,9.8,8,1,0,8,1,8.9,8,1,0,8,1,9.6,8,1,0,8,1
1995/4,7.3,8,1,0,8,1,11.3,8,1,0,8,1,15.0,8,1,1,8,1,14.4,8,1,2,8,1,14.6,8,1,0,8,1,13.5,8,1,0,8,1,13.9,8,1,0,8,1
1995/5,13.3,8,1,1,8,1,15.6,8,1,1,8,1,19.1,8,1,8,8,1,18.4,8,1,7,8,1,18.9,8,1,12,8,1,18.3,8,1,14,8,1,18.5,8,1,11,8,1
1995/6,15.6,8,1,1,8,1,17.0,8,1,0,8,1,20.4,8,1,10,8,1,21.7,8,1,15,8,1,22.1,8,1,20,8,1,21.5,8,1,20,8,1,21.7,8,1,22,8,1
1995/7,21.5,8,1,17,8,1,23.7,8,1,19,8,1,26.4,8,1,26,8,1,27.4,8,1,28,8,1,27.5,8,1,29,8,1,26.5,8,1,27,8,1,27.2,8,1,28,8,1
1995/8,21.3,8,1,14,8,1,25.4,8,1,28,8,1,29.4,8,1,31,8,1,29.3,8,1,31,8,1,30.3,8,1,31,8,1,30.1,8,1,31,8,1,29.7,8,1,31,8,1
1995/9,17.4,8,1,2,8,1,20.3,8,1,12,8,1,23.7,8,1,22,8,1,23.5,8,1,23,8,1,24.2,8,1,28,8,1,23.0,8,1,26,8,1,23.3,8,1,26,8,1
1995/10,13.1,8,1,0,8,1,16.4,8,1,1,8,1,19.5,8,1,9,8,1,19.2,8,1,6,8,1,19.9,8,1,14,8,1,18.7,8,1,13,8,1,18.7,8,1,13,8,1
1995/11,5.5,8,1,0,8,1,8.8,8,1,0,8,1,12.7,8,1,0,8,1,12.3,8,1,0,8,1,12.1,8,1,0,8,1,10.1,8,1,0,8,1,10.7,8,1,0,8,1
1995/12,0.0,8,1,0,8,1,3.9,8,1,0,8,1,7.7,8,1,0,8,1,7.4,8,1,0,8,1,7.2,8,1,0,8,1,5.2,8,1,0,8,1,6.4,8,1,0,8,1
1996/1,-3.7,8,1,0,8,1,1.3,8,1,0,8,1,6.6,8,1,0,8,1,6.5,8,1,0,8,1,6.3,8,1,0,8,1,4.5,8,1,0,8,1,5.4,8,1,0,8,1
1996/2,-3.4,8,1,0,8,1,1.8,8,1,0,8,1,5.4,8,1,0,8,1,6.1,8,1,0,8,1,5.2,8,1,0,8,1,3.8,8,1,0,8,1,4.5,8,1,0,8,1
1996/3,0.5,8,1,0,8,1,4.3,8,1,0,8,1,9.2,8,1,0,8,1,9.9,8,1,0,8,1,8.9,8,1,0,8,1,7.8,8,1,0,8,1,8.4,8,1,0,8,1
1996/4,5.8,8,1,0,8,1,8.5,8,1,0,8,1,12.7,8,1,1,8,1,12.5,8,1,1,8,1,12.7,8,1,3,8,1,12.0,8,1,4,8,1,11.8,8,1,1,8,1
1996/5,10.5,8,1,2,8,1,13.9,8,1,3,8,1,18.1,8,1,11,8,1,19.4,8,1,10,8,1,19.6,8,1,11,8,1,18.4,8,1,12,8,1,19.5,8,1,14,8,1
1996/6,15.7,8,1,3,8,1,18.0,8,1,3,8,1,22.6,8,1,19,8,1,23.9,8,1,23,8,1,23.4,8,1,25,8,1,22.7,8,1,22,8,1,23.2,8,1,21,8,1
1996/7,20.4,8,1,11,8,1,22.5,8,1,21,8,1,26.2,8,1,26,8,1,27.1,8,1,26,8,1,27.5,8,1,30,8,1,26.9,8,1,29,8,1,27.6,8,1,31,8,1
1996/8,20.9,8,1,13,8,1,22.9,8,1,20,8,1,26.0,8,1,29,8,1,28.2,8,1,31,8,1,28.3,8,1,30,8,1,27.0,8,1,29,8,1,28.2,8,1,31,8,1
1996/9,18.2,8,1,2,8,1,20.0,8,1,11,8,1,22.4,8,1,20,8,1,23.8,8,1,27,8,1,23.3,8,1,22,8,1,22.5,8,1,21,8,1,23.7,8,1,26,8,1
1996/10,11.5,8,1,0,8,1,15.1,8,1,0,8,1,18.0,8,1,1,8,1,19.0,8,1,7,8,1,18.5,8,1,7,8,1,17.3,8,1,7,8,1,18.0,8,1,7,8,1
1996/11,4.1,8,1,0,8,1,8.9,8,1,0,8,1,13.2,8,1,0,8,1,14.2,8,1,1,8,1,13.7,8,1,0,8,1,12.0,8,1,0,8,1,13.1,8,1,0,8,1
1996/12,-0.7,8,1,0,8,1,5.4,8,1,0,8,1,9.3,8,1,0,8,1,8.6,8,1,0,8,1,8.7,8,1,0,8,1,6.9,8,1,0,8,1,7.1,8,1,0,8,1
1997/1,-2.5,8,1,0,8,1,2.4,8,1,0,8,1,6.8,8,1,0,8,1,6.2,8,1,0,8,1,6.0,8,1,0,8,1,4.3,8,1,0,8,1,5.3,8,1,0,8,1
1997/2,-1.8,8,1,0,8,1,2.6,8,1,0,8,1,7.0,8,1,0,8,1,7.7,8,1,0,8,1,5.8,8,1,0,8,1,4.8,8,1,0,8,1,5.7,8,1,0,8,1
1997/3,0.2,8,1,0,8,1,5.7,8,1,0,8,1,10.5,8,1,1,8,1,11.3,8,1,0,8,1,10.1,8,1,0,8,1,9.6,8,1,0,8,1,10.4,8,1,0,8,1
1997/4,7.2,8,1,0,8,1,11.1,8,1,1,8,1,15.2,8,1,2,8,1,15.3,8,1,1,8,1,15.1,8,1,0,8,1,14.7,8,1,2,8,1,14.8,8,1,1,8,1
1997/5,11.9,8,1,1,8,1,15.0,8,1,7,8,1,19.2,8,1,9,8,1,20.4,8,1,13,8,1,19.9,8,1,16,8,1,18.9,8,1,12,8,1,19.6,8,1,12,8,1
1997/6,15.8,8,1,7,8,1,18.6,8,1,9,8,1,22.7,8,1,22,8,1,23.6,8,1,24,8,1,23.7,8,1,24,8,1,22.7,8,1,21,8,1,23.7,8,1,25,8,1
1997/7,22.0,8,1,22,8,1,23.1,8,1,26,8,1,26.6,8,1,30,8,1,26.6,8,1,29,8,1,26.7,8,1,30,8,1,25.8,8,1,28,8,1,26.3,8,1,28,8,1
1997/8,20.5,8,1,12,8,1,23.9,8,1,24,8,1,27.0,8,1,28,8,1,28.0,8,1,31,8,1,28.5,8,1,31,8,1,27.4,8,1,31,8,1,28.0,8,1,31,8,1
1997/9,17.1,8,1,5,8,1,19.7,8,1,7,8,1,22.9,8,1,17,8,1,23.3,8,1,20,8,1,24.3,8,1,22,8,1,23.6,8,1,21,8,1,23.6,8,1,24,8,1
1997/10,10.8,8,1,0,8,1,14.4,8,1,2,8,1,18.7,8,1,5,8,1,18.6,8,1,11,8,1,18.2,8,1,6,8,1,16.9,8,1,5,8,1,17.6,8,1,11,8,1
1997/11,7.1,8,1,0,8,1,10.5,8,1,0,8,1,14.3,8,1,0,8,1,14.9,8,1,0,8,1,14.1,8,1,0,8,1,12.8,8,1,0,8,1,13.7,8,1,0,8,1
1997/12,0.4,8,1,0,8,1,5.2,8,1,0,8,1,9.2,8,1,0,8,1,9.5,8,1,0,8,1,8.9,8,1,0,8,1,7.7,8,1,0,8,1,8.6,8,1,0,8,1
1998/1,-5.9,8,1,0,8,1,0.5,8,1,0,8,1,5.3,8,1,0,8,1,6.6,8,1,0,8,1,5.9,8,1,0,8,1,4.5,8,1,0,8,1,5.5,8,1,0,8,1
1998/2,-3.6,8,1,0,8,1,2.4,8,1,0,8,1,7.0,8,1,0,8,1,9.4,8,1,0,8,1,7.8,8,1,0,8,1,6.8,8,1,0,8,1,7.9,8,1,0,8,1
1998/3,1.6,8,1,0,8,1,6.1,8,1,0,8,1,10.1,8,1,0,8,1,10.9,8,1,0,8,1,10.6,8,1,0,8,1,9.8,8,1,1,8,1,10.3,8,1,0,8,1
1998/4,9.0,8,1,3,8,1,11.6,8,1,3,8,1,16.3,8,1,6,8,1,17.6,8,1,6,8,1,17.7,8,1,10,8,1,17.2,8,1,9,8,1,17.4,8,1,6,8,1
1998/5,13.5,8,1,1,8,1,16.5,8,1,4,8,1,20.5,8,1,18,8,1,21.1,8,1,16,8,1,21.6,8,1,22,8,1,20.3,8,1,16,8,1,21.1,8,1,18,8,1
1998/6,15.5,8,1,4,8,1,17.6,8,1,8,8,1,21.5,8,1,13,8,1,22.9,8,1,18,8,1,23.3,8,1,24,8,1,22.4,8,1,20,8,1,23.2,8,1,23,8,1
1998/7,20.3,8,1,15,8,1,21.6,8,1,17,8,1,25.3,8,1,25,8,1,27.6,8,1,31,8,1,27.8,8,1,30,8,1,26.8,8,1,30,8,1,27.5,8,1,31,8,1
1998/8,21.1,8,1,12,8,1,23.1,8,1,19,8,1,27.2,8,1,30,8,1,29.2,8,1,31,8,1,29.4,8,1,31,8,1,28.5,8,1,31,8,1,29.0,8,1,31,8,1
1998/9,19.2,8,1,9,5,1,21.9,8,1,18,8,1,24.4,8,1,24,8,1,25.7,8,1,29,8,1,25.6,8,1,27,8,1,24.7,8,1,26,8,1,25.7,8,1,29,8,1
1998/10,13.2,8,1,0,8,1,16.8,8,1,6,8,1,20.1,8,1,10,8,1,20.8,8,1,13,8,1,20.8,8,1,13,8,1,19.9,8,1,10,8,1,20.5,8,1,13,8,1
1998/11,3.2,8,1,0,8,1,9.0,8,1,0,8,1,13.9,8,1,1,8,1,14.3,8,1,0,8,1,13.7,8,1,0,8,1,12.1,8,1,0,8,1,13.0,8,1,0,8,1
1998/12,-1.7,8,1,0,8,1,5.2,8,1,0,8,1,9.0,8,1,0,8,1,10.6,8,1,0,8,1,9.8,8,1,0,8,1,8.2,8,1,0,8,1,9.5,8,1,0,8,1
1999/1,-3.2,8,1,0,8,1,2.1,8,1,0,8,1,6.6,8,1,0,8,1,7.3,8,1,0,8,1,6.4,8,1,0,8,1,4.7,8,1,0,8,1,5.8,8,1,0,8,1
1999/2,-3.6,8,1,0,8,1,2.4,8,1,0,8,1,6.7,8,1,0,8,1,7.2,8,1,0,8,1,5.9,8,1,0,8,1,4.8,8,1,0,8,1,5.6,8,1,0,8,1
1999/3,-0.5,8,1,0,8,1,5.3,8,1,0,8,1,10.1,8,1,0,8,1,11.3,8,1,0,8,1,10.6,8,1,0,8,1,9.9,8,1,0,8,1,10.4,8,1,0,8,1
1999/4,6.9,8,1,0,8,1,11.0,8,1,0,8,1,15.0,8,1,0,8,1,14.8,8,1,1,8,1,14.7,8,1,0,8,1,14.4,8,1,4,8,1,14.7,8,1,0,8,1
1999/5,11.9,8,1,2,8,1,16.5,8,1,2,8,1,19.9,8,1,12,8,1,19.7,8,1,13,8,1,20.5,8,1,18,8,1,19.5,8,1,16,8,1,19.9,8,1,15,8,1
1999/6,17.8,8,1,9,8,1,19.7,8,1,9,8,1,22.8,8,1,24,8,1,23.2,8,1,25,8,1,23.5,8,1,25,8,1,22.8,8,1,23,8,1,23.3,8,1,21,8,1
1999/7,22.1,8,1,21,8,1,23.4,8,1,17,8,1,25.9,8,1,28,8,1,25.3,8,1,29,8,1,26.8,8,1,31,8,1,26.0,8,1,31,8,1,26.0,8,1,30,8,1
1999/8,24.9,8,1,27,8,1,25.4,8,1,28,8,1,28.5,8,1,31,8,1,27.6,8,1,31,8,1,29.1,8,1,31,8,1,27.9,8,1,31,8,1,28.0,8,1,31,8,1
1999/9,19.7,8,1,12,8,1,22.3,8,1,21,8,1,26.2,8,1,27,8,1,26.2,8,1,30,8,1,27.2,8,1,30,8,1,25.8,8,1,29,8,1,26.2,8,1,29,8,1
1999/10,11.9,8,1,0,8,1,15.8,8,1,1,8,1,19.5,8,1,9,8,1,19.9,8,1,11,8,1,20.1,8,1,13,8,1,19.2,8,1,11,8,1,19.6,8,1,13,8,1
1999/11,5.5,8,1,0,8,1,10.7,8,1,0,8,1,14.2,8,1,0,8,1,13.8,8,1,0,8,1,14.1,8,1,0,8,1,12.8,8,1,0,8,1,12.9,8,1,0,8,1
1999/12,-1.1,8,1,0,8,1,4.3,8,1,0,8,1,9.0,8,1,0,8,1,8.6,8,1,0,8,1,8.7,8,1,0,8,1,6.8,8,1,0,8,1,7.6,8,1,0,8,1
2000/1,-3.1,8,1,0,8,1,3.6,8,1,0,8,1,7.6,8,1,0,8,1,7.7,8,1,0,8,1,7.0,8,1,0,8,1,6.1,8,1,0,8,1,6.7,8,1,0,8,1
2000/2,-3.8,8,1,0,8,1,1.8,8,1,0,8,1,6.0,8,1,0,8,1,6.1,8,1,0,8,1,4.9,8,1,0,8,1,3.5,8,1,0,8,1,4.7,8,1,0,8,1
2000/3,0.2,8,1,0,8,1,4.6,8,1,0,8,1,9.4,8,1,0,8,1,10.4,8,1,0,8,1,8.9,8,1,0,8,1,7.6,8,1,0,8,1,8.8,8,1,0,8,1
2000/4,6.1,8,1,0,8,1,10.0,8,1,0,8,1,14.5,8,1,0,8,1,15.1,8,1,1,8,1,14.6,8,1,0,8,1,13.8,8,1,0,8,1,14.1,8,1,0,8,1
2000/5,14.0,8,1,3,8,1,15.9,8,1,5,8,1,19.8,8,1,11,8,1,19.4,8,1,11,8,1,20.7,8,1,16,8,1,19.9,8,1,17,8,1,19.5,8,1,13,8,1
2000/6,16.7,8,1,9,8,1,19.6,8,1,12,8,1,22.5,8,1,20,8,1,23.0,8,1,21,8,1,23.3,8,1,23,8,1,22.6,8,1,20,8,1,23.0,8,1,23,8,1
2000/7,22.2,8,1,20,8,1,24.3,8,1,25,8,1,27.7,8,1,31,8,1,28.2,8,1,31,8,1,28.7,8,1,31,8,1,28.0,8,1,31,8,1,27.9,8,1,31,8,1
2000/8,23.9,8,1,28,8,1,25.3,8,1,29,8,1,28.3,8,1,31,8,1,28.6,8,1,31,8,1,29.6,8,1,31,8,1,28.8,8,1,31,8,1,28.6,8,1,31,8,1
